"","state","year","population"
"183","Maine","2013",1327691
"184","Maryland","2013",5887072
"185","Massachusetts","2013",6663158
"186","Michigan","2013",9896930
"187","Minnesota","2013",5376550
"188","Mississippi","2013",2983767
"189","Missouri","2013",6024081
"190","Montana","2013",1003754
"191","Nebraska","2013",1853323
"192","Nevada","2013",2744566
"193","New Hampshire","2013",1323962
"194","New Jersey","2013",8845483
"195","New Mexico","2013",2087549
"196","New York","2013",19574549
"197","North Carolina","2013",9749123
"198","North Dakota","2013",701116
"199","Ohio","2013",11548369
"200","Oklahoma","2013",3818600
"201","Oregon","2013",3899118
"202","Pennsylvania","2013",12766827
"203","Rhode Island","2013",1054601
"204","South Carolina","2013",4717112
"205","South Dakota","2013",833496
"206","Tennessee","2013",6451281
"207","Texas","2013",26089620
"208","Utah","2013",2853467
"209","Vermont","2013",626063
"210","Virginia","2013",8185229
"211","Washington","2013",6892876
"212","West Virginia","2013",1856764
"213","Wisconsin","2013",5719855
"214","Wyoming","2013",576270
"215","U.S. Virgin Islands","2013",108191
"216","Puerto Rico","2013",3634488
"217","Alabama","2014",4830460
"218","Alaska","2014",737045
"219","Arizona","2014",6634999
"220","Arkansas","2014",2959549
"221","California","2014",38280824
"222","Colorado","2014",5270482
"223","Connecticut","2014",3594915
"224","Delaware","2014",923638
"225","District of Columbia","2014",650431
"226","Florida","2014",19563166
"227","Georgia","2014",9973326
"228","Guam","2014",160375
"229","Hawaii","2014",1408453
"230","Idaho","2014",1611530
"231","Illinois","2014",12898269
"232","Indiana","2014",6568367
"233","Iowa","2014",3093078
"234","Kansas","2014",2893510
"235","Kentucky","2014",4404817
"236","Louisiana","2014",4624577
"237","Maine","2014",1328196
"238","Maryland","2014",5923704
"239","Massachusetts","2014",6713944
"240","Michigan","2014",9913349
"241","Minnesota","2014",5413693
"242","Mississippi","2014",2988797
"243","Missouri","2014",6040658
"244","Montana","2014",1013564
"245","Nebraska","2014",1865414
"246","Nevada","2014",2776972
"247","New Hampshire","2014",1326408
"248","New Jersey","2014",8858362
"249","New Mexico","2014",2092792
"250","New York","2014",19628043
"251","North Carolina","2014",9843599
"252","North Dakota","2014",721999
"253","Ohio","2014",11576576
"254","Oklahoma","2014",3853205
"255","Oregon","2014",3922908
"256","Pennsylvania","2014",12776621
"257","Rhode Island","2014",1055122
"258","South Carolina","2014",4764153
"259","South Dakota","2014",842270
"260","Tennessee","2014",6493432
"261","Texas","2014",26489464
"262","Utah","2014",2897927
"263","Vermont","2014",626212
"264","Virginia","2014",8253053
"265","Washington","2014",6962906
"266","West Virginia","2014",1853873
"267","Wisconsin","2014",5736952
"268","Wyoming","2014",582123
"269","U.S. Virgin Islands","2014",108044
"270","Puerto Rico","2014",3593077
"271","Alabama","2015",4842481
"272","Alaska","2015",736307
"273","Arizona","2015",6733840
"274","Arkansas","2015",2967726
"275","California","2015",38625139
"276","Colorado","2015",5351218
"277","Connecticut","2015",3594783
"278","Delaware","2015",932596
"279","District of Columbia","2015",662513
"280","Florida","2015",19860330
"281","Georgia","2015",10069001
"282","Guam","2015",160967
"283","Hawaii","2015",1414862
"284","Idaho","2015",1631479
"285","Illinois","2015",12888962
"286","Indiana","2015",6593533
"287","Iowa","2015",3109504
"288","Kansas","2015",2900896
"289","Kentucky","2015",4414483
"290","Louisiana","2015",4644204
"291","Maine","2015",1330760
"292","Maryland","2015",5958165
"293","Massachusetts","2015",6763652
"294","Michigan","2015",9930589
"295","Minnesota","2015",5451522
"296","Mississippi","2015",2990623
"297","Missouri","2015",6056293
"298","Montana","2015",1021891
"299","Nebraska","2015",1879522
"300","Nevada","2015",2819012
"301","New Hampshire","2015",1333223
"302","New Jersey","2015",8866780
"303","New Mexico","2015",2090342
"304","New York","2015",19656330
"305","North Carolina","2015",9933944
"306","North Dakota","2015",737382
"307","Ohio","2015",11602973
"308","Oklahoma","2015",3878367
"309","Oregon","2015",3964106
"310","Pennsylvania","2015",12789101
"311","Rhode Island","2015",1056017
"312","South Carolina","2015",4823793
"313","South Dakota","2015",849088
"314","Tennessee","2015",6540826
"315","Texas","2015",26977142
"316","Utah","2015",2937399
"317","Vermont","2015",625218
"318","Virginia","2015",8312076
"319","Washington","2015",7052439
"320","West Virginia","2015",1849467
"321","Wisconsin","2015",5751974
"322","Wyoming","2015",582548
"323","U.S. Virgin Islands","2015",107884
"324","Puerto Rico","2015",3534874
"325","Alabama","2016",4853160
"326","Alaska","2016",737547
"327","Arizona","2016",6833596
"328","Arkansas","2016",2978407
"329","California","2016",38953142
"330","Colorado","2016",5452107
"331","Connecticut","2016",3587509
"332","Delaware","2016",941413
"333","District of Columbia","2016",675254
"334","Florida","2016",20224249
"335","Georgia","2016",10181111
"336","Guam","2016",161797
"337","Hawaii","2016",1422484
"338","Idaho","2016",1651523
"339","Illinois","2016",12864342
"340","Indiana","2016",6608296
"341","Iowa","2016",3121460
"342","Kansas","2016",2909502
"343","Kentucky","2016",4425999
"344","Louisiana","2016",4664851
"345","Maine","2016",1328484
"346","Maryland","2016",5986717
"347","Massachusetts","2016",6795891
"348","Michigan","2016",9932573
"349","Minnesota","2016",5482503
"350","Mississippi","2016",2988693
"351","Missouri","2016",6071745
"352","Montana","2016",1030503
"353","Nebraska","2016",1891507
"354","Nevada","2016",2868666
"355","New Hampshire","2016",1336294
"356","New Jersey","2016",8870869
"357","New Mexico","2016",2090211
"358","New York","2016",19661411
"359","North Carolina","2016",10033079
"360","North Dakota","2016",754022
"361","Ohio","2016",11617850
"362","Oklahoma","2016",3909831
"363","Oregon","2016",4016918
"364","Pennsylvania","2016",12785759
"365","Rhode Island","2016",1056173
"366","South Carolina","2016",4892253
"367","South Dakota","2016",853933
"368","Tennessee","2016",6590808
"369","Texas","2016",27486814
"370","Utah","2016",2982497
"371","Vermont","2016",625197
"372","Virginia","2016",8362907
"373","Washington","2016",7163543
"374","West Virginia","2016",1841996
"375","Wisconsin","2016",5761406
"376","Wyoming","2016",585668
"377","U.S. Virgin Islands","2016",107710
"378","Puerto Rico","2016",3473166
"379","Alabama","2017",4864745
"380","Alaska","2017",741504
"381","Arizona","2017",6945452
"382","Arkansas","2017",2990410
"383","California","2017",39209127
"384","Colorado","2017",5540921
"385","Connecticut","2017",3578674
"386","Delaware","2017",949216
"387","District of Columbia","2017",686575
"388","Florida","2017",20629982
"389","Georgia","2017",10304763
"390","Guam","2017",162896
"391","Hawaii","2017",1428105
"392","Idaho","2017",1682930
"393","Illinois","2017",12826895
"394","Indiana","2017",6633344
"395","Iowa","2017",3131785
"396","Kansas","2017",2911263
"397","Kentucky","2017",4438229
"398","Louisiana","2017",4678215
"399","Maine","2017",1331370
"400","Maryland","2017",6004692
"401","Massachusetts","2017",6826022
"402","Michigan","2017",9951890
"403","Minnesota","2017",5523409
"404","Mississippi","2017",2988298
"405","Missouri","2017",6087203
"406","Montana","2017",1040863
"407","Nebraska","2017",1905924
"408","Nevada","2017",2919772
"409","New Hampshire","2017",1342373
"410","New Jersey","2017",8874516
"411","New Mexico","2017",2092789
"412","New York","2017",19641589
"413","North Carolina","2017",10156679
"414","North Dakota","2017",754353
"415","Ohio","2017",11635003
"416","Oklahoma","2017",3926769
